device,attack_type,true_label_name,samples,detection_rate,mean_attack_probability,mean_confidence,mean_entropy,mean_priority
device_1,benign,benign,9965,0.9998996487706975,0.00027978967,0.99982035,0.0015222346523777461,0.0006325008627307757
device_1,gafgyt+combo,attack,8474,1.0,1.0,1.0,1.0270657659243458e-10,0.5000000000308119
device_1,gafgyt+junk,attack,4054,0.9995066600888012,0.99952364,0.999983,9.047211232890472e-05,0.4997923737284452
device_1,gafgyt+scan,attack,4247,0.999058158700259,0.9987398,0.99917805,0.0032756204168840515,0.5005169404875113
device_1,gafgyt+tcp,attack,13139,0.9991627977776086,0.9980882,0.9987228,0.013492833327471742,0.5033473887076545
device_1,gafgyt+udp,attack,15116,0.999206139190262,0.998044,0.9988102,0.013206913694433192,0.503222051259361
device_1,mirai+ack,attack,14364,0.9999303815093289,0.99993044,0.9999999,1.1467335772755414e-06,0.4999656038758047
device_1,mirai+scan,attack,15057,0.9999335857076442,0.9999523,0.999981,5.843566110028888e-05,0.4999974968907501
device_1,mirai+syn,attack,17437,0.9999426506853243,0.9999428,0.9999999,7.580076836342554e-07,0.4999716002726448
device_1,mirai+udp,attack,14251,1.0,0.99999994,0.99999994,9.58937500531189e-07,0.5000002657671018
device_2,benign,benign,2683,0.9992545657845695,0.0007224106,0.9999034,0.0006246199075495873,0.0005679135976192855
device_3,benign,benign,7733,0.9989654726496832,0.0012836668,0.9995321,0.002649770228211493,0.001530337910627142
device_4,benign,benign,29969,0.9997997931195569,0.0005492711,0.9996224,0.003387586631866198,0.0013664353072724738
device_5,benign,benign,12320,0.9987824675324676,0.0014501788,0.99971306,0.002007452297167932,0.0013847179989378167
device_6,benign,benign,19756,0.9998481473982588,0.00061084126,0.99949443,0.004102267957286191,0.0016372185271133512
device_7,benign,benign,10528,1.0,0.00018134521,0.9998187,0.00204810960011064,0.0007413745725745353
device_8,benign,benign,9325,0.9997855227882038,0.0007812123,0.99943167,0.0042488344773518325,0.0017789330717035076
device_9,benign,benign,3860,0.9987046632124352,0.0017569409,0.9995352,0.0035104191640160133,0.0020245623987235222
